Date,DBC,EEM,EFA,EWZ,SHY,TLT,TQQQ,UPRO,UVXY
2012-09-10,29.07,40.65,53.44,54.84,84.45,123.56,59.91,89.02,38.04
2012-09-11,29.22,40.78,53.79,54.83,84.46,122.01,60.43,89.87,35.91
2012-09-12,29.42,41.91,54.62,56.47,84.48,121.56,62.74,94.19,30.69
2012-09-13,29.73,42.37,55.15,57.06,84.45,118.3,64.45,95.35,32.83
2012-09-14,28.91,41.91,54.86,56.48,84.44,119.71,64.57,94.5,32.15
2012-09-17,28.7,41.94,54.63,56.48,84.44,120.32,64.69,94.16,30.5
2012-09-18,28.28,41.93,54.86,56.27,84.44,121.08,65.12,94.31,30.33
2012-09-19,28.44,41.71,54.5,56.16,84.44,121.39,64.97,94.3,29.71
2012-09-20,28.63,41.76,54.52,55.85,84.44,121.58,64.97,94.1,29.25
2012-09-21,28.33,41.74,54.35,55.95,84.45,122.5,63.83,93.69,28.48
2012-09-24,28.36,41.11,54.0,54.76,84.43,123.73,61.21,91.01,33.0
2012-09-25,28.16,40.93,53.45,54.63,84.44,125.04,59.6,89.19,35.45
2012-09-26,28.51,41.61,54.07,54.76,84.46,124.16,62.13,91.81,29.18
2012-09-27,28.68,41.32,53.0,54.05,84.5,124.21,60.8,90.38,30.98
2012-09-28,28.72,41.74,53.44,54.56,84.48,124.42,60.38,90.98,31.5
2012-10-01,28.57,41.8,53.64,54.54,84.47,124.26,60.77,91.38,30.26
2012-10-02,28.08,41.51,53.42,54.0,84.46,124.28,61.99,92.49,30.07
2012-10-03,28.69,41.94,54.06,54.33,84.45,122.73,62.64,94.72,28.64
2012-10-04,28.54,41.95,54.14,54.22,84.43,121.17,61.56,94.46,27.83
2012-10-05,28.46,41.58,53.82,54.75,84.44,122.17,59.93,93.45,28.45
2012-10-08,28.67,41.27,53.04,54.27,84.43,121.96,56.85,90.76,30.84
2012-10-09,28.62,40.99,52.89,53.83,84.42,122.78,56.16,89.14,30.17
2012-10-10,28.95,41.4,53.23,54.26,84.42,123.66,55.66,89.23,29.28
2012-10-11,28.55,41.28,53.17,53.97,84.44,123.96,55.65,88.14,29.84
2012-10-12,28.41,41.51,53.69,54.6,84.43,123.69,56.76,90.53,27.8
2012-10-15,28.43,41.94,54.59,54.86,84.42,121.97,59.23,93.22,26.47
2012-10-16,28.44,42.29,55.09,55.18,84.37,120.84,59.05,94.45,25.81
2012-10-17,28.43,42.16,54.86,55.1,84.37,120.1,57.1,93.77,25.59
2012-10-18,28.01,41.47,54.11,54.36,84.37,121.7,52.91,88.96,28.89
2012-10-19,27.87,41.9,54.52,54.73,84.35,120.96,53.74,89.06,28.23
2012-10-22,27.53,41.04,53.35,53.33,84.38,122.69,52.29,85.28,32.64
2012-10-23,27.45,41.08,53.38,53.24,84.39,121.49,51.63,84.68,32.94
2012-10-24,27.52,41.53,53.7,53.79,84.36,120.88,51.63,85.39,31.17
2012-10-25,27.58,41.24,53.61,53.62,84.38,122.64,52.17,85.22,31.01
2012-10-26,27.56,41.11,53.57,53.32,84.42,123.36,51.16,85.02,32.07
2012-10-31,27.61,41.86,54.21,54.4,84.4,122.34,53.33,87.9,27.03
2012-11-01,27.14,41.53,53.66,54.08,84.39,122.25,51.38,85.41,28.25
2012-11-02,27.37,41.8,53.56,54.42,84.39,122.95,52.64,86.04,29.16
2012-11-05,27.87,42.14,54.07,54.86,84.38,121.8,52.96,87.94,27.1
2012-11-06,27.34,41.46,53.26,54.1,84.43,124.01,49.16,82.05,31.33
2012-11-07,27.38,40.89,52.8,53.18,84.44,125.85,46.86,79.01,31.69
2012-11-08,27.6,41.0,52.8,52.77,84.43,125.94,47.37,79.15,31.61
2012-11-09,27.47,41.14,52.78,52.51,84.43,126.19,47.44,79.45,27.63
2012-11-12,27.42,40.78,52.49,52.03,84.44,126.61,46.41,78.62,27.71
2012-11-13,27.5,40.14,51.96,51.25,84.46,126.67,44.75,75.51,29.4
2012-11-14,27.39,40.26,52.1,51.24,84.46,126.49,44.35,75.12,30.07
2012-11-15,27.51,40.41,52.09,51.01,84.47,126.41,44.85,76.15,27.34
2012-11-16,28.03,41.1,53.19,51.88,84.45,125.66,48.08,80.66,22.68
2012-11-19,27.84,41.02,53.3,51.92,84.43,124.42,48.09,81.03,21.76
2012-11-20,27.96,40.96,53.39,51.51,84.42,124.33,48.43,81.46,22.06
2012-11-21,28.06,41.63,54.53,52.16,84.41,124.18,50.65,84.6,20.19
2012-11-23,28.02,41.63,54.42,52.05,84.41,124.8,51.3,84.16,19.84
2012-11-26,27.98,41.28,54.13,51.39,84.42,125.27,50.72,82.98,20.64
2012-11-27,27.89,41.51,54.53,51.52,84.42,125.09,52.08,84.82,19.44
2012-11-28,28.08,41.83,55.0,51.88,84.44,125.12,52.98,86.12,18.89
2012-11-29,28.1,41.8,55.09,51.59,84.45,124.78,52.79,85.85,19.57
2012-11-30,28.17,41.78,55.14,51.54,84.44,124.65,52.53,84.73,20.35
2012-12-03,27.92,41.9,55.25,51.42,84.43,125.37,52.19,84.31,21.05
2012-12-04,27.89,42.32,55.39,52.35,84.45,125.33,50.58,84.79,20.32
2012-12-05,27.64,42.69,55.47,52.78,84.45,125.56,51.51,85.65,20.83
2012-12-06,27.61,42.79,55.49,53.02,84.44,124.43,50.62,86.45,19.31
2012-12-07,27.55,43.05,55.55,53.53,84.44,124.99,51.08,86.7,19.87
2012-12-10,27.51,43.25,55.87,53.99,84.45,124.03,53.05,88.38,18.54
2012-12-11,27.63,43.38,56.05,54.03,84.44,122.57,52.69,88.58,19.43
2012-12-12,27.38,43.19,55.88,53.67,84.43,122.68,51.5,87.04,20.23
2012-12-13,27.55,43.38,56.06,54.19,84.46,123.59,50.04,85.86,20.41
2012-12-14,27.53,43.49,56.31,54.09,84.44,121.76,51.99,88.89,19.07
2012-12-17,27.6,43.52,56.28,54.37,84.39,120.51,54.4,92.0,17.58
2012-12-18,27.7,43.51,56.51,55.07,84.4,120.94,53.62,90.07,19.64
2012-12-19,27.56,43.76,56.88,55.56,84.4,120.94,53.66,91.43,20.56
2012-12-20,27.52,43.3,56.52,54.96,84.41,122.24,51.99,89.04,23.26
2012-12-21,27.43,43.18,56.36,54.83,84.42,122.01,51.55,87.86,22.54
2012-12-24,27.71,43.29,56.36,55.18,84.4,122.18,50.33,86.87,25.07
2012-12-26,27.71,43.56,56.61,55.44,84.41,122.57,50.05,86.66,25.09
2012-12-27,27.63,43.7,56.01,55.26,84.43,123.32,48.6,83.67,27.54
2012-12-28,27.78,44.35,56.82,56.06,84.4,121.19,51.77,87.86,20.79
2012-12-31,27.88,45.2,57.77,56.96,84.41,119.57,56.6,94.81,16.05
2013-01-02,27.63,44.93,57.18,57.32,84.4,117.93,55.78,94.04,15.95
2013-01-03,27.53,45.0,57.47,57.17,84.4,118.4,55.21,95.45,15.33
2013-01-04,27.58,44.65,57.23,56.87,84.41,118.45,55.29,94.75,15.28
2013-01-07,27.65,44.27,56.9,56.07,84.43,119.22,54.97,93.71,14.95
2013-01-08,27.61,44.44,57.19,56.44,84.44,119.08,55.53,94.6,14.99
2013-01-09,27.71,44.82,57.92,56.98,84.44,118.8,56.51,96.6,14.28
2013-01-10,27.59,44.46,58.04,56.41,84.44,119.84,56.72,96.81,14.14
2013-01-11,27.77,44.66,58.11,56.68,84.43,119.53,55.99,96.38,13.69
