Date,BSV,SQQQ,TECL,TQQQ,UPRO,UVXY
2014-01-21,80.03,13.85,92.14,127.19,95.49,14.67
2014-01-22,80.16,14.0,91.36,125.83,93.2,15.46
2014-01-23,80.21,59.4,86.29,59.14,87.1,72.84
2014-01-24,80.15,61.01,83.89,57.42,85.85,74.63
2014-01-27,80.18,61.15,82.47,57.4,87.39,68.36
2014-01-28,80.28,63.13,80.31,55.59,84.75,77.79
2014-01-29,80.27,59.7,83.44,58.52,87.62,74.58
2014-01-30,80.35,60.1,83.92,58.11,85.99,87.82
2014-01-31,80.37,64.24,78.14,54.26,80.17,100.25
2014-02-03,80.33,62.64,79.46,55.31,81.79,95.63
2014-02-04,80.26,63.32,79.38,54.81,81.51,103.3
2014-02-05,80.28,60.84,82.1,56.91,84.66,82.41
2014-02-06,80.33,57.59,85.55,59.93,88.0,72.48
2014-02-07,80.35,56.59,86.32,61.07,88.4,72.4
2014-02-10,80.27,54.67,89.29,63.12,91.25,66.9
2014-02-11,80.17,54.35,90.14,63.42,91.5,64.08
2014-02-12,80.24,53.1,92.56,65.05,92.89,63.0
2014-02-13,80.24,52.82,92.79,65.24,94.3,61.05
2014-02-14,80.33,52.03,93.07,66.26,94.72,59.45
2014-02-18,80.31,53.11,91.83,64.81,92.77,67.4
2014-02-19,80.25,52.34,93.1,65.75,94.31,62.65
2014-02-20,80.31,52.64,92.0,65.41,94.1,63.99
2014-02-21,80.31,51.64,93.0,66.58,95.58,62.81
2014-02-24,80.36,51.89,92.13,66.32,95.52,63.02
2014-02-25,80.39,52.02,92.21,66.1,95.53,64.5
2014-02-26,80.41,51.01,94.35,67.4,97.11,64.2
2014-02-27,80.4,51.16,93.95,67.06,97.73,66.3
2014-02-28,80.4,52.37,91.99,65.64,95.7,73.56
2014-03-03,80.31,50.2,95.61,68.23,99.76,63.96
2014-03-04,80.32,49.85,96.03,68.79,99.83,63.63
2014-03-05,80.24,50.04,96.06,68.53,100.75,63.02
2014-03-06,80.18,50.74,95.43,67.55,100.74,65.72
2014-03-07,80.14,50.61,95.13,67.69,100.66,65.16
2014-03-10,80.19,51.25,94.1,66.85,99.16,66.84
2014-03-11,80.22,50.64,94.8,67.6,99.23,66.78
2014-03-12,80.32,52.81,90.8,64.73,95.93,72.25
2014-03-13,80.32,53.92,89.23,63.4,95.05,76.25
2014-03-14,80.27,52.45,92.23,65.09,97.55,69.23
2014-03-17,80.32,50.54,95.76,67.43,99.72,63.8
2014-03-18,80.05,51.38,94.54,66.32,98.23,66.16
2014-03-19,80.05,50.95,97.0,66.84,99.78,65.26
2014-03-20,80.02,52.81,95.68,64.39,98.67,66.12
2014-03-21,80.01,54.13,95.17,62.77,97.39,66.55
2014-03-24,80.0,53.64,96.92,63.35,98.83,64.85
2014-03-25,80.05,55.72,93.67,60.94,96.62,67.08
2014-03-26,80.05,56.67,92.29,59.86,96.05,65.44
2014-03-27,80.02,56.28,93.27,60.25,97.45,63.96
2014-03-28,80.1,55.11,95.46,61.45,99.88,59.93
2014-03-31,80.02,52.21,98.88,64.78,101.83,55.97
2014-04-01,79.92,51.78,99.21,65.29,102.88,56.73
2014-04-02,79.95,53.01,97.74,63.75,102.38,56.56
2014-04-03,80.03,57.34,92.11,58.69,98.82,59.08
2014-04-04,80.06,58.89,90.24,56.93,95.43,61.53
2014-04-07,80.11,57.26,92.34,58.52,96.7,59.2
2014-04-08,80.21,54.31,95.75,61.52,99.81,56.16
2014-04-09,80.26,59.31,89.67,55.84,93.48,63.1
