Date,DBMF,GLD,PSQ,QQQ,SH,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY
2019-12-17,27.51,139.02,25.06,209.55,24.37,319.59,23.66,228.14,82.45,67.75,13.08
2019-12-18,27.56,139.38,24.88,210.86,24.27,320.9,23.18,232.59,84.13,68.56,12.58
2019-12-19,27.74,139.52,24.78,211.71,24.15,320.73,22.93,236.26,85.13,69.6,12.78
2019-12-20,27.72,139.95,24.72,211.81,24.12,321.22,22.74,238.77,85.76,69.8,12.87
2019-12-23,27.75,141.27,24.65,211.92,24.05,321.23,22.61,238.99,85.84,69.68,12.68
2019-12-24,27.87,142.38,24.42,213.79,23.92,322.94,22.01,244.03,88.07,70.7,12.62
2019-12-26,25.54,142.33,24.44,213.61,23.93,322.86,22.09,244.33,87.81,70.67,13.03
2019-12-27,25.3101,142.63,24.6,212.21,24.07,321.08,22.52,239.98,86.06,69.5,13.73
2019-12-30,25.3256,142.9,24.56,212.61,24.01,321.86,22.39,241.75,86.55,70.01,12.89
2019-12-31,25.6595,143.95,24.17,216.16,23.78,324.87,21.3,255.23,90.84,71.9,12.1
2020-01-02,25.6038,145.86,24.37,214.18,23.96,322.41,21.87,247.13,88.37,70.34,13.03
2020-01-03,25.6553,147.39,24.23,215.56,23.88,323.64,21.45,248.86,90.05,71.07,12.81
2020-01-06,25.615,147.97,24.23,215.53,23.94,322.73,21.46,247.98,89.94,70.45,12.71
2020-01-07,25.6231,146.86,24.05,217.15,23.82,324.45,20.98,256.17,92.01,71.54,12.35
2020-01-08,25.7165,146.03,23.85,218.99,23.67,326.65,20.45,264.84,94.33,73.0,11.69
2020-01-09,25.715,146.91,23.9,218.43,23.73,325.71,20.62,263.0,93.56,72.38,11.58
2020-01-10,25.805,145.82,23.64,220.95,23.58,327.95,19.9,273.66,96.83,73.84,11.14
2020-01-13,25.8135,145.69,23.74,220.08,23.61,327.45,20.14,268.5,95.7,73.49,11.02
2020-01-14,25.8562,146.54,23.73,220.17,23.57,328.19,20.13,269.64,95.76,74.0,10.98
2020-01-15,25.9965,146.31,23.51,222.28,23.37,330.92,19.56,280.64,98.43,75.8,10.58
2020-01-16,26.1038,146.58,23.38,223.38,23.3,331.95,19.26,286.24,99.9,76.51,10.61
2020-01-17,26.026,146.74,23.4,223.28,23.35,331.3,19.3,285.83,99.85,76.08,10.73
2020-01-21,26.0657,146.79,23.35,223.87,23.34,331.34,19.15,288.92,100.53,76.12,10.83
2020-01-22,26.135,147.12,23.3,224.59,23.32,331.72,18.97,292.95,101.46,76.28,10.76
2020-01-23,26.0017,147.98,23.47,222.7,23.54,328.77,19.46,288.32,98.83,74.23,11.71
2020-01-24,25.6693,148.99,23.96,218.1,23.9,323.5,20.66,267.98,92.72,70.68,13.54
2020-01-27,25.7808,147.66,23.58,221.45,23.66,326.89,19.71,282.89,97.03,72.87,12.38
2020-01-28,25.9383,148.46,23.56,221.81,23.69,326.62,19.63,284.73,97.38,72.68,12.4
2020-01-29,25.905,148.47,23.465,222.6,23.6,327.68,19.41,292.65,98.48,73.31,12.1
2020-01-30,25.5797,149.33,23.84,219.07,24.05,321.73,20.36,268.44,93.64,69.37,14.17
2020-01-31,25.7059,148.36,23.48,222.38,23.86,324.12,19.44,278.77,97.94,70.89,13.4
2020-02-03,25.8007,146.43,22.96,227.47,23.49,329.06,18.11,301.15,104.63,74.12,12.31
2020-02-04,25.855,146.61,22.86,228.22,23.23,332.86,17.9,306.38,105.84,76.63,11.58
2020-02-05,26.005,147.4,22.66,230.19,23.15,333.98,17.46,314.32,108.42,77.42,11.4
2020-02-06,26.0552,147.79,22.78,229.2,23.28,332.2,17.68,306.02,107.02,76.23,11.65
