Date,BIL,BSV,BTAL,CURE,DRN,DUSL,ERX,FAS,LTL,NAIL,PSQ,QID,QLD,QQQ,SH,SHV,SMH,SOXL,SPXU,SPY,SQQQ,TECL,TLT,TMF,TMV,TQQQ,UGE,UPRO,UTSL,UUP,UVXY,UYM,VDE,VIXY,WANT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XTL
2019-02-15,91.55,78.95,21.17,57.44,24.12,31.19,22.36,61.74,40.56,37.26,30.95,38.05,82.01,171.41,28.39,110.47,102.16,124.57,34.12,276.52,11.83,115.35,122.4,19.72,17.8,49.56,40.68,46.12,30.24,25.79,47.72,54.57,88.88,27.33,25.62,54.28,65.79,26.3,75.46,69.34,54.48,34.95,55.75,92.6,109.72,72.1
2019-02-19,91.55,78.93,21.29,57.03,24.25,31.41,22.76,62.45,40.96,38.76,30.75,37.6,82.99,172.4,28.26,110.48,103.0,127.08,33.65,277.85,11.64,116.98,121.94,19.54,17.99,50.45,41.01,46.8,30.95,25.72,46.06,55.73,89.49,26.65,26.15,54.92,66.22,26.46,75.63,69.7,54.58,34.99,56.02,92.4,110.58,72.97
2019-02-20,91.57,78.88,21.0,56.69,23.66,31.62,22.97,62.52,40.77,37.31,30.88,37.89,82.36,171.79,28.29,110.51,103.22,129.79,33.69,277.75,11.77,116.1,121.07,19.11,18.39,49.87,41.09,46.72,31.29,25.69,44.12,57.88,89.79,25.9,25.68,55.83,66.39,26.59,75.84,69.55,54.44,34.69,56.12,92.25,110.47,73.11
2019-02-21,91.57,78.92,21.03,56.06,24.05,31.56,22.55,62.53,40.19,39.0,30.86,37.81,82.53,171.99,28.26,110.5,103.79,129.64,33.56,278.15,11.72,118.78,121.48,19.27,18.21,50.06,41.0,46.92,32.41,25.73,43.53,58.06,89.2,25.68,26.22,55.82,66.11,26.5,75.98,70.07,54.18,34.92,56.8,91.89,110.78,72.77
2019-02-22,91.58,78.94,20.86,58.07,24.34,33.0,21.97,63.66,41.5,40.63,30.44,36.85,84.63,174.21,28.0,110.51,105.7,137.01,32.63,280.69,11.28,124.37,121.14,19.15,18.34,52.0,40.84,48.22,33.04,25.68,40.56,58.55,88.42,24.53,26.93,56.01,65.55,26.58,77.0,71.17,54.62,35.14,57.1,93.02,111.77,73.93
2019-02-25,91.58,78.99,20.81,57.06,23.7,31.97,22.31,62.25,41.11,38.3,30.66,37.37,83.5,173.1,28.16,110.51,104.89,132.44,33.23,279.13,11.51,122.11,121.72,19.4,18.11,50.96,40.77,47.37,31.54,25.66,44.18,58.77,88.84,25.97,25.41,56.01,65.81,26.36,76.31,70.73,54.16,34.89,56.8,92.47,110.3,72.89
2019-02-26,91.59,79.02,20.85,56.31,23.3,32.05,22.53,62.26,41.53,38.01,30.68,37.39,83.44,172.9,28.22,110.53,103.87,129.22,33.44,278.53,11.54,122.73,121.11,19.12,18.37,50.8,40.75,47.07,31.93,25.57,44.5,57.19,88.92,26.12,25.8,55.7,65.98,26.44,76.17,70.86,54.04,34.59,56.48,92.04,110.77,72.5
2019-02-27,91.6,78.98,20.91,55.58,23.12,32.35,22.4,62.86,41.29,36.94,30.69,37.36,83.48,173.05,28.2,110.55,102.78,124.86,33.32,278.97,11.52,122.15,120.56,18.82,18.64,50.91,40.7,47.24,32.18,25.61,43.95,57.7,88.96,25.89,25.46,55.67,65.92,26.6,76.61,70.8,54.21,34.6,56.71,91.75,110.41,72.86
2019-02-28,91.45,78.8,21.12,56.45,23.28,32.78,22.09,64.18,40.82,36.32,30.44,36.78,84.83,174.44,28.03,110.34,104.49,130.54,32.77,280.44,11.26,125.05,119.33,18.36,19.07,52.11,41.01,48.01,32.45,25.63,42.15,57.12,88.45,25.15,26.4,55.45,65.6,26.76,76.91,71.42,54.5,34.77,57.03,92.22,111.11,72.52
2019-03-01,91.44,78.76,21.14,58.35,23.2,32.98,23.2,64.3,41.04,35.86,30.27,36.39,85.71,175.54,27.92,110.34,104.98,132.97,32.37,281.65,11.08,126.62,119.26,18.34,19.11,53.15,40.9,48.6,32.75,25.77,40.08,56.71,89.96,24.35,26.36,55.1,66.69,26.76,76.77,71.64,54.34,34.77,57.2,93.28,111.58,72.83
