Date,BITI,BSV,MSTR,TBT
2015-09-11,16.5,80.15,200.95,45.12
2015-09-14,16.26,79.96,207.95,46.79
2015-09-15,16.36,80.01,209.87,47.2
2015-09-16,17.35,80.22,209.9,45.97
2015-09-17,16.96,80.33,206.68,44.64
2015-09-18,16.23,80.2,208.5,45.99
2015-09-21,16.17,80.28,207.07,44.76
2015-09-22,15.62,80.28,208.28,44.74
2015-09-23,14.91,80.27,205.19,44.14
2015-09-24,14.83,80.23,205.19,44.86
2015-09-25,13.75,80.29,195.28,43.35
2015-09-28,13.54,80.36,194.72,43.11
2015-09-29,13.09,80.39,196.47,43.37
2015-09-30,13.11,80.3,199.3,43.0
2015-10-01,13.61,80.49,198.84,42.52
2015-10-02,13.61,80.4,200.99,43.61
2015-10-05,13.53,80.42,197.58,43.25
2015-10-06,13.79,80.37,199.58,43.52
2015-10-07,13.58,80.38,199.53,44.25
2015-10-08,14.3,80.36,205.25,44.02
2015-10-09,14.09,80.42,206.11,43.31
2015-10-12,13.91,80.45,199.38,43.22
2015-10-13,14.24,80.59,196.75,42.48
2015-10-14,14.76,80.51,199.79,42.79
2015-10-15,15.26,80.47,203.11,42.82
2015-10-16,15.15,80.51,203.73,43.05
2015-10-19,14.89,80.36,197.11,43.6
2015-10-20,14.57,80.42,190.36,42.76
2015-10-21,14.3,80.48,194.92,42.59
2015-10-22,14.57,80.4,188.18,43.23
2015-10-23,14.6,80.39,196.26,42.75
2015-10-26,14.51,80.43,168.24,42.52
2015-10-27,14.31,80.31,178.85,42.82
2015-10-28,13.31,80.2,174.38,44.15
2015-10-29,13.11,80.24,172.07,43.57
2015-10-30,13.34,80.05,176.16,43.92
2015-11-02,13.14,80.04,177.12,44.62
2015-11-03,13.2,79.9,180.23,44.56
2015-11-04,12.8,79.93,176.92,44.79
2015-11-05,12.72,79.78,177.65,46.08
2015-11-06,12.98,79.77,174.86,46.57
2015-11-09,13.09,79.87,174.45,46.36
2015-11-10,13.35,79.85,174.85,46.52
2015-11-11,13.2,79.82,172.72,46.12
2015-11-12,13.21,79.92,168.87,45.55
2015-11-13,13.33,79.96,171.58,45.64
2015-11-16,13.27,79.96,171.93,45.51
2015-11-17,13.5,79.92,174.82,45.28
2015-11-18,13.5,79.92,173.0,44.71
2015-11-19,14.03,79.92,173.21,44.91
2015-11-20,14.35,79.91,173.68,44.67
2015-11-23,14.65,79.97,173.3,44.68
2015-11-24,14.67,79.95,175.4,44.48
2015-11-25,14.3,79.95,175.56,44.48
2015-11-27,14.2,79.92,173.37,44.18
2015-11-30,14.31,79.95,177.19,43.06
2015-12-01,14.69,79.88,176.19,42.94
2015-12-02,14.43,79.8,173.58,45.27
2015-12-03,14.54,79.8,176.84,44.44
2015-12-04,14.41,79.86,173.73,43.6
2015-12-07,14.41,79.82,175.49,43.53
2015-12-08,14.2,79.83,172.53,43.64
2015-12-09,14.15,79.79,172.75,43.53
2015-12-10,14.15,79.96,174.14,42.16
2015-12-11,13.88,79.82,175.25,43.19
2015-12-14,14.16,79.7,178.93,43.69
2015-12-15,14.16,79.59,177.12,43.93
2015-12-16,14.17,79.61,173.51,42.92
2015-12-17,14.01,79.71,175.74,42.45
2015-12-18,14.19,79.74,177.37,42.47
2015-12-21,14.15,79.73,177.14,43.08
2015-12-22,14.4,79.54,177.45,43.72
2015-12-23,14.3,79.6,177.61,43.27
2015-12-24,14.09,79.59,176.41,42.98
2015-12-28,14.0,79.5,180.64,44.36
2015-12-29,14.19,79.52,178.92,44.49
2015-12-30,14.15,79.57,179.29,44.07
2015-12-31,14.19,79.62,171.13,43.43
2016-01-04,14.13,79.59,171.77,43.79
2016-01-05,14.0,79.68,169.27,42.61
2016-01-06,14.11,79.8,161.03,42.48
2016-01-07,15.4,79.89,148.15,42.13
2016-01-08,13.89,79.88,152.45,43.0
2016-01-11,13.96,79.89,156.19,41.76
2016-01-12,13.85,79.98,150.34,40.97
2016-01-13,13.74,79.95,152.53,41.69
2016-01-14,13.05,80.05,149.93,40.39
2016-01-15,24.62,79.98,146.34,40.69
2016-01-19,24.67,80.07,149.69,39.81
2016-01-20,24.5,80.09,150.22,40.36
2016-01-21,24.58,79.96,149.91,40.66
2016-01-22,24.73,79.97,145.88,40.24
2016-01-25,24.75,80.04,147.15,40.18
2016-01-26,24.82,80.03,142.39,40.18
2016-01-27,24.77,80.11,167.26,40.08
2016-01-28,24.72,80.2,172.51,39.42
2016-01-29,25.0,80.02,173.34,39.66
2016-02-01,25.1,80.22,171.89,38.18
2016-02-02,25.43,80.27,171.48,38.81
2016-02-03,25.51,80.32,167.84,38.45
2016-02-04,24.9,80.28,156.46,38.32
2016-02-05,24.01,80.4,155.0,36.72
2016-02-08,24.55,80.4,151.96,36.6
2016-02-09,24.4,80.45,150.15,35.95
2016-02-10,24.8,80.47,149.57,35.46
2016-02-11,24.75,80.33,151.9,36.61
2016-02-12,24.49,80.3,152.36,37.36
2016-02-16,24.92,80.26,156.6,37.83
2016-02-17,24.5,80.36,149.32,36.94
2016-02-18,24.41,80.29,153.25,36.89
2016-02-19,24.71,80.3,154.6,36.91
2016-02-22,24.6,80.35,152.59,36.6
2016-02-23,24.79,80.36,156.58,36.75
2016-02-24,24.74,80.44,158.15,36.5
2016-02-25,25.0,80.31,158.58,37.16
2016-02-26,24.75,80.36,160.89,36.96
2016-02-29,24.79,80.13,172.39,38.14
2016-03-01,24.92,80.11,168.24,37.87
2016-03-02,25.19,80.16,170.78,37.59
2016-03-03,25.54,80.1,168.98,38.06
2016-03-04,25.4,80.04,168.75,38.11
2016-03-07,25.57,80.12,167.65,37.2
2016-03-08,25.48,80.08,168.24,37.73
2016-03-09,25.71,80.0,167.12,38.02
2016-03-10,25.58,79.98,170.59,38.78
2016-03-11,25.45,80.01,168.04,38.54
2016-03-14,25.59,80.05,165.81,38.47
2016-03-15,25.75,80.26,167.38,38.22
2016-03-16,25.73,80.36,168.98,37.95
2016-03-17,26.1,80.38,175.12,37.73
2016-03-18,26.18,80.29,175.55,38.34
2016-03-21,26.0,80.21,175.77,38.33
2016-03-22,25.87,80.22,169.48,37.44
2016-03-23,25.96,80.22,172.82,37.47
2016-03-24,25.71,80.27,172.02,37.37
2016-03-28,25.7,80.5,177.79,36.61
2016-03-29,26.19,80.53,180.87,37.36
2016-03-30,26.39,80.63,179.72,36.86
2016-03-31,26.32,80.5,182.75,36.61
2016-04-01,26.61,80.51,184.71,36.58
2016-04-04,26.35,80.66,183.1,35.76
2016-04-05,26.2,80.6,182.34,36.24
2016-04-06,26.09,80.71,179.1,35.35
2016-04-07,25.79,80.7,178.8,35.83
2016-04-08,26.74,80.66,180.72,35.9
2016-04-11,26.56,80.57,182.65,36.4
2016-04-12,26.46,80.53,187.07,36.17
2016-04-13,26.43,80.51,187.95,36.51
2016-04-14,26.41,80.61,186.17,35.95
2016-04-15,26.48,80.59,188.25,36.18
2016-04-18,26.76,80.56,189.35,36.41
2016-04-19,26.5,80.44,188.28,37.17
2016-04-20,26.54,80.45,188.26,37.67
2016-04-21,26.48,80.46,191.8,37.84
2016-04-22,26.36,80.45,185.5,38.17
2016-04-25,26.36,80.34,189.83,38.49
2016-04-26,26.31,80.48,189.97,37.75
2016-04-27,26.55,80.53,182.57,37.44
2016-04-28,26.61,80.61,179.32,37.21
2016-04-29,26.69,80.48,184.1,37.96
2016-05-02,26.88,80.58,180.34,36.96
2016-05-03,26.96,80.64,180.07,36.6
