Date,PSQ,QLD,QQQ,SHY,SPY
2012-11-30,25.31,56.53,66.31,84.41,142.81
2012-12-03,25.56,55.43,65.7,84.44,141.44
2012-12-04,25.62,55.21,65.53,84.45,141.41
2012-12-05,25.93,53.82,64.7,84.45,141.37
2012-12-06,25.55,55.36,65.64,84.43,142.52
2012-12-07,25.91,53.9,64.75,84.44,142.22
2012-12-10,25.58,55.23,65.57,84.44,143.07
2012-12-11,25.29,56.49,66.32,84.45,144.01
2012-12-12,25.52,55.5,65.7,84.44,143.44
2012-12-13,25.85,54.09,64.87,84.44,142.32
2012-12-14,25.91,53.78,64.75,84.45,142.5
2012-12-17,25.43,55.88,65.88,84.42,144.0
2012-12-18,25.11,57.18,66.74,84.4,145.55
2012-12-19,25.25,56.54,66.38,84.41,144.36
2012-12-20,25.69,54.56,64.88,84.42,142.2
2012-12-21,25.61,54.85,65.03,84.42,142.45
2012-12-24,25.61,54.79,65.12,84.39,142.62
2012-12-26,25.82,53.96,64.56,84.39,141.75
2012-12-27,26.06,52.97,63.91,84.42,140.65
2012-12-28,26.16,52.53,63.71,84.43,139.72
2012-12-31,24.91,57.5,66.73,84.41,145.28
2013-01-02,24.75,58.47,67.19,84.42,145.99
2013-01-03,24.88,57.8,66.88,84.4,145.97
2013-01-04,25.03,57.06,66.45,84.39,145.87
2013-01-07,24.95,57.41,66.64,84.4,145.72
2013-01-08,24.95,57.36,66.62,84.43,145.89
2013-01-09,24.73,58.43,67.23,84.43,146.72
2013-01-10,24.75,58.26,67.14,84.43,147.06
2013-01-11,24.84,57.84,66.92,84.44,146.89
2013-01-14,24.95,57.38,66.63,84.46,146.29
2013-01-15,24.92,57.55,66.72,84.45,146.78
2013-01-16,24.73,58.35,67.17,84.43,147.66
2013-01-17,24.8,58.01,67.02,84.44,148.0
2013-01-18,24.76,58.26,67.14,84.44,148.34
2013-01-22,24.61,58.94,67.56,84.45,149.12
2013-01-23,24.92,57.38,66.66,84.45,149.12
2013-01-24,24.85,57.78,66.87,84.44,149.88
2013-01-25,24.79,58.01,67.01,84.38,150.33
2013-01-28,24.77,58.1,67.07,84.42,149.78
2013-01-29,24.68,58.43,67.28,84.41,150.64
2013-01-30,24.8,57.96,66.99,84.44,149.93
2013-01-31,24.66,58.52,67.34,84.42,150.66
2013-02-01,24.7,58.44,67.27,84.42,150.31
2013-02-04,24.87,57.49,66.77,84.41,150.36
2013-02-05,24.69,58.37,67.24,84.43,150.53
2013-02-06,24.66,58.44,67.32,84.43,151.21
2013-02-07,24.53,58.98,67.64,84.42,151.24
