Date,BITF,BITO,COIN,MARA,MSTR,RIOT,UVXY
2022-09-29,1.05,11.99,64.49,10.71,212.26,7.01,12.85
2022-09-30,1.08,12.06,65.95,11.08,224.52,7.19,12.0
2022-10-03,1.13,12.52,74.5,12.88,248.74,7.59,11.31
2022-10-04,1.14,12.41,72.97,12.84,242.19,7.25,11.45
2022-10-05,1.11,12.35,73.91,13.1,241.67,7.16,11.95
2022-10-06,1.02,11.96,67.0,11.21,220.3,6.565,12.71
2022-10-07,0.97,11.79,67.04,10.76,220.65,6.39,13.17
2022-10-10,0.9288,11.66,70.16,10.46,216.37,6.19,13.49
2022-10-11,0.9551,11.77,69.95,10.42,218.38,6.14,13.25
2022-10-12,1.0,11.95,69.26,11.22,220.54,6.39,12.69
2022-10-13,0.9486,11.8,63.59,10.3,209.31,5.76,13.14
2022-10-14,0.9978,12.05,69.17,11.69,221.13,6.04,12.61
2022-10-17,0.9609,11.84,66.21,11.38,235.0,5.87,12.21
2022-10-18,0.9393,11.84,63.19,11.07,226.08,5.67,12.37
2022-10-19,0.936,11.74,63.59,10.92,221.01,5.58,12.15
2022-10-20,0.95,11.84,66.38,11.7,232.62,5.83,12.07
2022-10-21,0.9469,11.94,66.39,12.9,237.6,6.05,11.77
2022-10-24,1.1,12.54,75.05,14.76,268.69,7.01,11.08
2022-10-25,1.06,12.84,73.81,13.79,272.72,7.06,10.71
2022-10-26,0.9977,12.79,72.47,13.65,270.56,6.84,10.39
2022-10-27,1.05,12.74,72.07,13.85,279.99,7.05,10.03
2022-10-28,0.9589,12.57,66.25,13.11,267.51,6.89,9.81
2022-10-31,0.9462,12.63,63.29,12.22,257.2,6.45,9.64
2022-11-01,0.89,12.47,60.71,10.915,248.23,5.87,10.01
2022-11-02,0.8884,12.5,55.8,10.51,248.44,5.51,9.71
2022-11-03,0.8894,13.06,58.82,10.84,277.1,5.79,9.51
2022-11-04,0.8743,12.85,56.97,10.5,266.64,5.75,9.34
2022-11-07,0.8071,11.13,50.83,9.96,211.84,5.33,9.76
2022-11-08,0.71,9.66,45.98,9.61,170.36,4.9,10.19
2022-11-09,0.6972,10.86,50.92,9.98,175.0,5.42,9.37
2022-11-10,0.8522,9.78,57.46,9.77,175.18,5.34,9.2
2022-11-11,0.7632,9.81,53.22,9.52,165.9,5.14,9.19
2022-11-14,0.7502,10.27,55.53,9.5,171.53,5.22,9.35
2022-11-15,0.7,10.0,48.83,8.31,169.44,4.66,9.0
2022-11-16,0.676,10.16,48.79,8.03,173.88,4.63,8.88
2022-11-17,0.65,10.14,45.26,7.47,170.12,4.46,8.73
2022-11-18,0.55,9.59,41.23,6.19,157.22,3.98,8.38
2022-11-21,0.59,9.79,43.39,6.42,167.08,3.99,7.94
2022-11-22,0.62,10.19,45.57,6.48,176.39,4.42,7.68
2022-11-23,0.6134,10.19,44.28,6.22,183.0,4.43,7.74
2022-11-25,0.59,9.99,42.51,5.98,176.67,4.25,8.16
2022-11-28,0.5629,10.16,43.11,5.89,182.0,4.24,7.99
2022-11-29,0.583,10.7,45.73,6.32,198.09,4.65,7.52
2022-11-30,0.58,10.54,45.27,6.21,198.98,4.58,7.32
2022-12-01,0.5778,10.64,47.67,6.91,206.94,4.96,7.12
2022-12-02,0.54,10.53,46.0,6.14,195.67,4.66,7.32
2022-12-05,0.5,10.61,42.41,5.79,195.52,4.38,7.62
2022-12-06,0.4881,10.47,41.26,5.37,193.49,4.22,7.81
2022-12-07,0.51,10.78,42.81,5.39,202.57,4.37,7.54
2022-12-08,0.49,10.66,40.24,5.0,203.25,4.19,7.83
2022-12-09,0.502,10.72,42.6,5.07,196.16,4.17,7.77
2022-12-12,0.54,11.1,38.69,4.66,201.81,4.07,7.24
2022-12-13,0.5239,11.14,40.19,4.72,202.73,4.15,6.88
2022-12-14,0.46,10.88,37.98,4.34,188.0,4.02,7.55
2022-12-15,0.5025,10.5,36.6,3.88,173.75,3.8,7.58
2022-12-16,0.46,10.32,35.17,3.87,170.21,3.82,7.3
2022-12-19,0.4501,10.55,34.97,3.91,168.85,3.83,7.21
2022-12-20,0.4377,10.48,35.15,3.65,168.82,3.83,6.81
2022-12-21,0.42,10.46,34.59,3.67,166.23,3.78,7.35
2022-12-22,0.4115,10.5,35.49,3.62,162.67,3.68,7.06
2022-12-23,0.38,10.37,32.65,3.24,147.74,3.42,7.02
2022-12-27,0.4007,10.35,32.53,3.145,138.09,3.29,7.04
2022-12-28,0.3969,10.35,34.78,3.41,136.63,3.42,6.89
2022-12-29,0.44,10.43,35.39,3.42,141.57,3.39,6.86
2022-12-30,0.4267,10.49,33.6,3.4,145.02,3.37,6.79
2023-01-03,0.5115,10.59,37.7,4.22,165.06,3.88,6.51
2023-01-04,0.5232,10.64,33.53,3.91,156.56,4.22,6.59
2023-01-05,0.5443,10.67,33.26,4.09,160.45,4.28,6.33
2023-01-06,0.6705,10.88,38.27,4.9,175.01,4.89,6.4
2023-01-09,0.725,11.08,43.23,5.75,190.0,5.64,6.0
2023-01-10,0.7,11.13,43.79,5.37,194.76,5.37,6.05
2023-01-11,1.01,12.1,47.55,7.03,210.17,6.15,5.585
2023-01-12,1.07,12.38,49.98,7.68,216.97,6.02,5.39
2023-01-13,1.1,13.62,54.14,8.37,235.92,6.41,5.45
2023-01-17,0.96,13.16,50.21,6.91,221.19,5.71,5.74
2023-01-18,1.09,13.41,49.42,7.34,221.45,5.78,5.76
2023-01-19,1.15,14.19,55.16,8.07,240.03,6.2,5.49
2023-01-20,1.18,14.67,55.96,9.0,250.215,6.48,5.41
2023-01-23,1.13,14.62,53.56,8.8,247.5,6.14,5.1
2023-01-24,1.08,14.55,52.76,8.75,245.84,6.23,5.1
2023-01-25,1.07,14.7,53.02,8.75,245.32,6.13,5.0
2023-01-26,1.1,14.65,61.37,8.02,258.36,6.33,4.86
2023-01-27,1.06,14.37,56.16,7.17,245.69,5.94,5.05
2023-01-30,0.9861,14.63,58.48,7.21,251.73,6.27,4.91
2023-01-31,1.11,14.79,65.7,7.52,267.92,6.86,4.67
2023-02-01,1.15,14.97,81.46,8.0,292.13,7.49,4.81
2023-02-02,1.06,14.63,74.63,7.07,284.76,6.84,4.89
2023-02-03,1.07,14.4,74.59,7.08,282.05,6.68,5.09
2023-02-06,1.1,14.51,71.42,7.1,283.87,6.6,4.84
2023-02-07,1.08,14.26,69.44,6.81,275.96,6.52,5.12
